ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.05936487,0.05057468,0.07549282,0.99409193,-0.00173105,0.00173105,0.00053263,-0.01109091,-0.01156392,0.10208365
-0.05954067,0.05055825,0.07494326,0.99412388,-0.00013316,0.00292948,-0.00066579,-0.01130874,-0.01151413,0.10214589
-0.05997137,0.05067386,0.07616686,0.99399918,-0.00186421,0.00346211,0.00013316,-0.01117804,-0.01152035,0.10187204
-0.06025838,0.05066247,0.07684867,0.99392986,-0.00053263,0.00119842,0.00053263,-0.01113447,-0.01146434,0.1022019
-0.06041965,0.05060373,0.07760104,0.9938646,-0.00106526,0.00253,0.00173105,-0.01119049,-0.01145189,0.10178491
-0.06039806,0.05049843,0.07804171,0.99383676,-0.00079895,0.00332895,0.0,-0.01123406,-0.01134609,0.10160442
-0.06136671,0.05018659,0.08205742,0.99346972,-0.00053263,0.00199737,0.0,-0.01160749,-0.01170707,0.10203386
-0.06142975,0.05018245,0.08446948,0.9932639,0.00026632,0.00239685,0.00039947,-0.01125895,-0.01130874,0.10205253
-0.06107837,0.05018751,0.08354142,0.99336374,-0.00093211,0.00199737,-0.00026632,-0.01127762,-0.01141455,0.10174134
-0.06059073,0.05023931,0.0821534,0.99350685,-0.0015979,0.00199737,0.00079895,-0.01133364,-0.01156392,0.10173512
-0.06078393,0.05001865,0.082997,0.99343592,-0.00066579,0.00266316,-0.00026632,-0.01114692,-0.01148301,0.10167287
-0.06115413,0.04990206,0.0847895,0.99326771,-0.00013316,0.00146474,-0.00026632,-0.01125895,-0.01172574,0.10202763
-0.06084539,0.04964443,0.08511285,0.99327201,0.0,0.00213053,-0.00106526,-0.01099133,-0.0115577,0.10232016
-0.06025598,0.04957942,0.08371221,0.99343014,0.00026632,0.00186421,0.00013316,-0.01134609,-0.01178175,0.10205875
-0.05995095,0.04970778,0.08269311,0.99352753,-0.00079895,0.0015979,-0.00013316,-0.01125895,-0.01162616,0.10197785
-0.05922562,0.04981755,0.0798376,0.99379909,0.00066579,0.00292948,0.00013316,-0.0111158,-0.01128385,0.10169777
-0.05915132,0.05009582,0.07811549,0.99392641,-0.00079895,0.00292948,0.0015979,-0.01119671,-0.01157014,0.10208987
-0.05873521,0.05027473,0.0753419,0.99415606,0.00066579,0.00452737,0.00199737,-0.01141455,-0.01149546,0.1020712
-0.05875033,0.05061575,0.07369234,0.9942615,-0.00146474,0.00346211,0.0,-0.01132119,-0.01143322,0.10172267
-0.05950316,0.05066814,0.07511114,0.9941079,0.00066579,0.00239685,-0.00053263,-0.01137721,-0.01170707,0.10206498
-0.06008464,0.05070581,0.07679512,0.99394226,0.00013316,0.00173105,0.00119842,-0.01125895,-0.0114021,0.10227036
-0.06034395,0.05057762,0.07917098,0.99374676,-0.00026632,0.00106526,-0.00079895,-0.01141455,-0.01135853,0.10217079
